#E [GeV] E [GeV] Ne+ flux sstat syst1 syst2 syst3 syst4 systt
0.50    0.65 0.57     0.02 1149     47  2.669 0.109 0.075 0.000 0.107 0.053 0.141   1
0.65    0.82 0.73     0.02 12911     144  2.576 0.029 0.046 0.000 0.083 0.044 0.105   1
0.82    1.01 0.91     0.03 26583     192  2.272 0.016 0.022 0.000 0.060 0.031 0.071   1
1.01    1.22 1.11     0.03 40179     225  1.929 0.011 0.013 0.000 0.043 0.019 0.049   1
1.22    1.46 1.33     0.03 54417     254  1.528 0.007 0.009 0.000 0.027 0.014 0.032   1
1.46    1.72 1.58     0.04 74795     293  1.196 0.005 0.006 0.000 0.018 0.009 0.021   1
1.72    2.00 1.85     0.04 94015     326  9.239 0.032 0.038 0.002 0.120 0.059 0.139   1e-1
2.00    2.31 2.15     0.05 109166     349  7.003 0.022 0.028 0.002 0.084 0.035 0.095   1e-1
2.31    2.65 2.47     0.05 117702     363  5.341 0.016 0.022 0.001 0.059 0.025 0.068   1e-1
2.65    3.00 2.82     0.06 113376     357  3.983 0.013 0.016 0.001 0.043 0.017 0.049   1e-1
3.00    3.36 3.17     0.06 106314     345  3.024 0.010 0.012 0.001 0.032 0.012 0.036   1e-1
3.36    3.73 3.54     0.07 98881     334  2.338 0.008 0.010 0.001 0.024 0.009 0.028   1e-1
3.73    4.12 3.92     0.08 92976     323  1.809 0.006 0.007 0.001 0.019 0.007 0.021   1e-1
4.12    4.54 4.32     0.08 87849     315  1.389 0.005 0.006 0.000 0.015 0.005 0.016   1e-1
4.54    5.00 4.76     0.09 84539     308  1.069 0.004 0.004 0.000 0.011 0.004 0.013   1e-1
5.00    5.49 5.24     0.10 79695     300  8.208 0.031 0.034 0.003 0.088 0.028 0.099   1e-2
5.49    6.00 5.74     0.11 72564     287  6.278 0.025 0.026 0.002 0.068 0.021 0.076   1e-2
6.00    6.54 6.26     0.12 67597     276  4.923 0.020 0.021 0.002 0.054 0.015 0.060   1e-2
6.54    7.10 6.81     0.13 60745     261  3.890 0.017 0.017 0.001 0.043 0.012 0.048   1e-2
7.10    7.69 7.39     0.14 53538     246  3.018 0.014 0.013 0.001 0.034 0.009 0.037   1e-2
7.69    8.30 7.99     0.15 47132     230  2.406 0.012 0.010 0.001 0.027 0.006 0.030   1e-2
8.30    8.95 8.62     0.16 42041     218  1.900 0.010 0.008 0.001 0.022 0.005 0.024   1e-2
8.95    9.62 9.28     0.18 36843     203  1.530 0.008 0.007 0.001 0.018 0.004 0.019   1e-2
9.62    10.32 9.96     0.19 32889     193  1.242 0.007 0.005 0.000 0.015 0.003 0.016   1e-2
10.32    11.04 10.67     0.20 28518     179  1.007 0.006 0.004 0.000 0.012 0.002 0.013   1e-2
11.04    11.80 11.41     0.22 25852     170  8.302 0.055 0.037 0.003 0.100 0.017 0.108   1e-3
11.80    12.59 12.19     0.23 23378     162  6.918 0.048 0.031 0.002 0.084 0.014 0.090   1e-3
12.59    13.41 12.99     0.25 20709     152  5.668 0.042 0.025 0.002 0.069 0.011 0.075   1e-3
